+---------------------------------+--------------+--------------+--------------+--------------+--------------+--------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+----------------+
|                                 |    Arakni    |    Azalea    |    Bravo     |    Briar     |     Dash     | Dorinthea Ironsong |    Dromai    |     Fai      |  Iyslander   |     Kano     |    Katsu     |    Levia     |     Lexi     |    Oldhim    |    Rhinar    |   Riptide    |  Ser Boltyn  |    Uzuri     |   Viserai    | Total Winrate | Without Mirror |
+---------------------------------+--------------+--------------+--------------+--------------+--------------+--------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+----------------+
|         Arakni, Huntsman        |    - |  0    | 100.00% |  2 |  0.00%  |  1 |  0.00%  |  1 | 50.00%  |  2 |       - |  0       | 33.33%  |  3 |    - |  0    |    - |  0    | 100.00% |  1 | 50.00%  |  2 |    - |  0    | 100.00% |  2 |  0.00%  |  4 |    - |  0    |    - |  0    |  0.00%  |  1 | 100.00% |  1 | 100.00% |  1 |     47.62%    |     47.62%     |
|     Azalea, Ace in the Hole     |  0.00%  |  2 | 50.00%  | 16 | 26.67%  | 15 | 41.18%  | 17 | 72.73%  | 11 |    77.78%  |  9    | 36.00%  | 50 | 33.33%  |  9 | 100.00% |  2 | 50.00%  |  6 | 56.25%  | 16 |    - |  0    | 60.00%  | 75 | 38.89%  | 36 | 66.67%  |  6 | 100.00% |  1 | 60.00%  |  5 | 33.33%  | 12 | 76.92%  | 13 |     49.83%    |     49.82%     |
|        Bravo, Showstopper       | 100.00% |  1 | 66.67%  | 15 | 50.00%  | 12 | 37.50%  | 16 | 47.06%  | 17 |    40.00%  |  5    | 60.71%  | 28 | 60.00%  | 10 | 42.86%  |  7 | 33.33%  |  6 | 50.00%  | 18 |    - |  0    | 48.21%  | 56 | 34.38%  | 32 |  0.00%  |  1 | 50.00%  |  2 | 50.00%  |  2 | 55.56%  |  9 | 43.75%  | 16 |     48.22%    |     48.13%     |
|     Briar, Warden of Thorns     | 100.00% |  1 | 58.82%  | 17 | 62.50%  | 16 | 50.00%  | 14 | 63.64%  | 11 |    66.67%  |  3    | 42.42%  | 33 | 90.00%  | 10 | 33.33%  |  6 | 50.00%  |  2 | 56.52%  | 23 |    - |  0    | 33.85%  | 65 | 48.28%  | 29 |    - |  0    | 100.00% |  2 | 37.50%  |  8 | 40.00%  | 10 | 66.67%  | 12 |     49.43%    |     49.40%     |
|  Dash, Inventor Extraordinaire  | 50.00%  |  2 | 27.27%  | 11 | 52.94%  | 17 | 36.36%  | 11 | 50.00%  | 16 |    37.50%  |  8    | 33.33%  | 27 | 50.00%  | 10 | 45.45%  | 11 | 60.00%  |  5 | 38.46%  | 13 |  0.00%  |  1 | 38.78%  | 49 | 55.88%  | 34 | 50.00%  |  2 | 100.00% |  1 |  0.00%  |  4 | 54.55%  | 11 | 22.22%  |  9 |     42.56%    |     42.04%     |
|        Dorinthea Ironsong       |    - |  0    | 22.22%  |  9 | 60.00%  |  5 | 33.33%  |  3 | 50.00%  |  8 |    50.00%  |  2    | 16.67%  |  6 | 100.00% |  2 |  0.00%  |  1 | 25.00%  |  4 | 57.14%  |  7 | 100.00% |  2 | 25.00%  | 24 | 10.00%  | 10 | 100.00% |  1 | 100.00% |  2 |    - |  0    | 42.86%  |  7 | 71.43%  |  7 |     39.00%    |     38.78%     |
|        Dromai, Ash Artist       | 66.67%  |  3 | 64.00%  | 50 | 28.57%  | 28 | 57.58%  | 33 | 59.26%  | 27 |    83.33%  |  6    | 45.00%  |100 | 56.00%  | 25 | 35.71%  | 14 | 76.47%  | 17 | 45.16%  | 31 |  0.00%  |  2 | 48.28%  |145 | 23.19%  | 69 |  7.69%  | 13 | 100.00% |  2 | 66.67%  |  6 | 75.00%  | 32 | 30.77%  | 39 |     47.04%    |     47.42%     |
|      Fai, Rising Rebellion      |    - |  0    | 66.67%  |  9 | 40.00%  | 10 | 10.00%  | 10 | 50.00%  | 10 |     0.00%  |  2    | 44.00%  | 25 | 50.00%  |  6 |  0.00%  |  4 | 25.00%  |  4 | 66.67%  | 12 |    - |  0    | 21.74%  | 23 | 64.71%  | 17 | 50.00%  |  2 |  0.00%  |  1 | 100.00% |  1 | 50.00%  | 10 | 44.44%  |  9 |     42.58%    |     42.28%     |
|       Iyslander, Stormbind      |    - |  0    |  0.00%  |  2 | 57.14%  |  7 | 66.67%  |  6 | 54.55%  | 11 |    100.00% |  1    | 50.00%  | 14 | 100.00% |  4 | 50.00%  |  6 | 100.00% |  1 | 37.50%  |  8 |    - |  0    | 27.27%  | 22 | 61.11%  | 18 |    - |  0    |    - |  0    | 100.00% |  2 | 40.00%  |  5 | 100.00% |  6 |     53.10%    |     53.27%     |
|      Kano, Dracai of Aether     |  0.00%  |  1 | 50.00%  |  6 | 66.67%  |  6 | 50.00%  |  2 | 40.00%  |  5 |    75.00%  |  4    | 23.53%  | 17 | 75.00%  |  4 |  0.00%  |  1 |    - |  0    | 30.00%  | 10 | 100.00% |  1 | 31.25%  | 16 | 58.33%  | 12 | 66.67%  |  3 |    - |  0    | 50.00%  |  2 | 87.50%  |  8 | 100.00% |  2 |     48.00%    |     48.00%     |
