+---------------------------------+---------+---------+---------+---------+--------+---------+--------------------+---------+---------+-----------+---------+--------+---------+---------+--------+---------+---------+------------+---------+---------+---------------+----------------+
|                                 |         |  Arakni |  Azalea |  Bravo  | Briar  |   Dash  | Dorinthea Ironsong |  Dromai |   Fai   | Iyslander |   Kano  | Katsu  |  Levia  |   Lexi  | Oldhim |  Rhinar | Riptide | Ser Boltyn |  Uzuri  | Viserai | Total Winrate | Without Mirror |
+---------------------------------+---------+---------+---------+---------+--------+---------+--------------------+---------+---------+-----------+---------+--------+---------+---------+--------+---------+---------+------------+---------+---------+---------------+----------------+
|                                 |    -    |    -    |    -    |    -    | 0.00%  |    -    |         -          |    -    |    -    |     -     |    -    |   -    |    -    |    -    |   -    |    -    |    -    |     -      |    -    |    -    |     0.00%     |     0.00%      |
|         Arakni, Huntsman        |    -    |    -    | 100.00% |  0.00%  | 0.00%  |  50.00% |         -          |  33.33% |    -    |     -     | 100.00% | 50.00% |    -    | 100.00% | 0.00%  |    -    |    -    |   0.00%    | 100.00% | 100.00% |     47.62%    |     47.62%     |
|     Azalea, Ace in the Hole     |    -    |  0.00%  |  50.00% |  28.57% | 43.75% |  72.73% |       77.78%       |  36.73% |  33.33% |  100.00%  |  50.00% | 56.25% |    -    |  56.06% | 34.48% |  80.00% | 100.00% |   60.00%   |  36.36% |  75.00% |     48.91%    |     48.85%     |
|        Bravo, Showstopper       |    -    | 100.00% |  64.29% |  50.00% | 37.50% |  50.00% |       40.00%       |  59.26% |  66.67% |   40.00%  |  40.00% | 46.67% |    -    |  50.00% | 20.00% |  0.00%  |  50.00% |   50.00%   |  55.56% |  43.75% |     47.98%    |     47.89%     |
|     Briar, Warden of Thorns     | 100.00% | 100.00% |  56.25% |  62.50% | 50.00% |  63.64% |       66.67%       |  41.94% |  87.50% |   33.33%  |  50.00% | 61.90% |    -    |  33.90% | 45.83% |    -    | 100.00% |   37.50%   |  40.00% |  63.64% |     49.18%    |     49.13%     |
|  Dash, Inventor Extraordinaire  |    -    |  50.00% |  27.27% |  50.00% | 36.36% |  50.00% |       37.50%       |  34.62% |  50.00% |   45.45%  |  60.00% | 38.46% |  0.00%  |  39.58% | 56.25% |  50.00% | 100.00% |   0.00%    |  54.55% |  22.22% |     42.62%    |     42.08%     |
|        Dorinthea Ironsong       |    -    |    -    |  22.22% |  60.00% | 33.33% |  50.00% |       50.00%       |  16.67% | 100.00% |   0.00%   |  25.00% | 57.14% | 100.00% |  25.00% | 10.00% | 100.00% | 100.00% |     -      |  42.86% |  71.43% |     39.00%    |     38.78%     |
|        Dromai, Ash Artist       |    -    |  66.67% |  63.27% |  29.63% | 58.06% |  57.69% |       83.33%       |  44.90% |  56.52% |   35.71%  |  75.00% | 43.33% |  0.00%  |  48.87% | 25.42% |  9.09%  | 100.00% |   66.67%   |  75.00% |  30.77% |     47.61%    |     48.13%     |
|      Fai, Rising Rebellion      |    -    |    -    |  66.67% |  33.33% | 12.50% |  50.00% |       0.00%        |  43.48% |  50.00% |   0.00%   |  25.00% | 66.67% |    -    |  23.81% | 60.00% |  50.00% |  0.00%  |  100.00%   |  50.00% |  44.44% |     42.76%    |     42.45%     |
|       Iyslander, Stormbind      |    -    |    -    |  0.00%  |  60.00% | 66.67% |  54.55% |      100.00%       |  50.00% | 100.00% |   50.00%  | 100.00% | 37.50% |    -    |  28.57% | 61.54% |    -    |    -    |  100.00%   |  40.00% | 100.00% |     53.40%    |     53.61%     |
|      Kano, Dracai of Aether     |    -    |  0.00%  |  50.00% |  60.00% | 50.00% |  40.00% |       75.00%       |  25.00% |  75.00% |   0.00%   |    -    | 30.00% | 100.00% |  28.57% | 54.55% |  66.67% |    -    |   50.00%   |  87.50% | 100.00% |     47.37%    |     47.37%     |
|       Katsu, the Wanderer       |    -    |  50.00% |  43.75% |  53.33% | 38.10% |  61.54% |       42.86%       |  56.67% |  33.33% |   62.50%  |  70.00% | 50.00% | 100.00% |  43.10% | 31.82% |  75.00% |  50.00% |  100.00%   |  25.00% |  26.67% |     45.66%    |     45.38%     |
|  Levia, Shadowborn Abomination  |    -    |    -    |    -    |    -    |   -    | 100.00% |       0.00%        | 100.00% |    -    |     -     |  0.00%  | 0.00%  |  50.00% |  0.00%  | 0.00%  |    -    |    -    |     -      |    -    |  0.00%  |     26.67%    |     23.08%     |
