Hero1, Hero2, Win, Loss, Draw, Games, Win%
,,0,0,0,0,-
,"Viserai, Rune Blood",0,0,0,0,-
,"Lexi, Livewire",0,0,0,0,-
,"Riptide, Lurker of the Deep",0,0,0,0,-
,Dorinthea Ironsong,0,0,0,0,-
,"Kano, Dracai of Aether",0,0,0,0,-
,"Oldhim, Grandfather of Eternity",0,0,0,0,-
,"Dash, Inventor Extraordinaire",0,0,0,0,-
,"Arakni, Huntsman",0,0,0,0,-
,"Uzuri, Switchblade",0,0,0,0,-
,"Katsu, the Wanderer",0,0,0,0,-
,"Iyslander, Stormbind",0,0,0,0,-
,"Briar, Warden of Thorns",0,0,0,0,-
,"Rhinar, Reckless Rampage",0,0,0,0,-
,"Bravo, Showstopper",0,0,0,0,-
,"Azalea, Ace in the Hole",0,0,0,0,-
,"Ser Boltyn, Breaker of Dawn",0,0,0,0,-
,"Fai, Rising Rebellion",0,0,0,0,-
,"Dromai, Ash Artist",0,0,0,0,-
,"Levia, Shadowborn Abomination",0,0,0,0,-
,TOTAL,0,-,-,0,-
"Viserai, Rune Blood",,0,0,0,0,-
"Viserai, Rune Blood","Viserai, Rune Blood",0,0,0,0,-
"Viserai, Rune Blood","Lexi, Livewire",0,0,0,0,-
"Viserai, Rune Blood","Riptide, Lurker of the Deep",0,0,0,0,-
"Viserai, Rune Blood",Dorinthea Ironsong,0,0,0,0,-
"Viserai, Rune Blood","Kano, Dracai of Aether",0,0,0,0,-
"Viserai, Rune Blood","Oldhim, Grandfather of Eternity",0,0,0,0,-
"Viserai, Rune Blood","Dash, Inventor Extraordinaire",0,0,0,0,-
"Viserai, Rune Blood","Arakni, Huntsman",0,0,0,0,-
"Viserai, Rune Blood","Uzuri, Switchblade",0,0,0,0,-
"Viserai, Rune Blood","Katsu, the Wanderer",0,0,0,0,-
"Viserai, Rune Blood","Iyslander, Stormbind",0,0,0,0,-
"Viserai, Rune Blood","Briar, Warden of Thorns",0,1,0,1,0.00%
"Viserai, Rune Blood","Rhinar, Reckless Rampage",0,0,0,0,-
"Viserai, Rune Blood","Bravo, Showstopper",0,0,0,0,-
"Viserai, Rune Blood","Azalea, Ace in the Hole",0,1,0,1,0.00%
