+---------------------------------+---+--------+---------+---------+---------+---------+--------------------+---------+---------+-----------+---------+---------+-------+--------+---------+---------+---------+------------+---------+---------+---------------+----------------+
|                                 |   | Arakni |  Azalea |  Bravo  |  Briar  |   Dash  | Dorinthea Ironsong |  Dromai |   Fai   | Iyslander |   Kano  |  Katsu  | Levia |  Lexi  |  Oldhim |  Rhinar | Riptide | Ser Boltyn |  Uzuri  | Viserai | Total Winrate | Without Mirror |
+---------------------------------+---+--------+---------+---------+---------+---------+--------------------+---------+---------+-----------+---------+---------+-------+--------+---------+---------+---------+------------+---------+---------+---------------+----------------+
|                                 | - |   -    |    -    |    -    |    -    |    -    |         -          |    -    |    -    |     -     |    -    |    -    |   -   |   -    |    -    |    -    |    -    |     -      |    -    |    -    |       -       |       -        |
|         Arakni, Huntsman        | - |   -    |    -    |    -    |    -    |    -    |         -          |    -    |    -    |     -     |    -    |    -    |   -   |   -    |    -    |    -    |    -    |     -      |    -    |    -    |       -       |       -        |
|     Azalea, Ace in the Hole     | - |   -    |  50.00% |  0.00%  |  0.00%  |    -    |         -          |  0.00%  |    -    |  100.00%  |    -    |    -    |   -   | 88.89% |  57.14% |  0.00%  |    -    |     -      |  0.00%  | 100.00% |     60.00%    |     60.87%     |
|        Bravo, Showstopper       | - |   -    | 100.00% |  50.00% |    -    |  0.00%  |         -          | 100.00% |  0.00%  |   50.00%  |  0.00%  |  66.67% |   -   | 33.33% |  58.33% |    -    |    -    |     -      |    -    |    -    |     50.00%    |     50.00%     |
|     Briar, Warden of Thorns     | - |   -    | 100.00% |    -    |    -    |    -    |         -          |  50.00% | 100.00% |     -     |    -    |  0.00%  |   -   | 33.33% |  60.00% |    -    |    -    |     -      |    -    | 100.00% |     52.63%    |     52.63%     |
|  Dash, Inventor Extraordinaire  | - |   -    |    -    | 100.00% |    -    |    -    |         -          |  0.00%  |    -    |     -     |    -    |    -    |   -   | 0.00%  |  50.00% |    -    |    -    |     -      |    -    |    -    |     40.00%    |     40.00%     |
|        Dorinthea Ironsong       | - |   -    |    -    |    -    |    -    |    -    |         -          |    -    |    -    |     -     |    -    |    -    |   -   |   -    |    -    |    -    |    -    |     -      |    -    |    -    |       -       |       -        |
|        Dromai, Ash Artist       | - |   -    | 100.00% |  0.00%  |  50.00% | 100.00% |         -          |  50.00% |  50.00% |     -     | 100.00% | 100.00% |   -   | 41.67% |  10.00% |  0.00%  |    -    |     -      |    -    |    -    |     37.14%    |     36.36%     |
|      Fai, Rising Rebellion      | - |   -    |    -    | 100.00% |  0.00%  |    -    |         -          |  50.00% |    -    |   0.00%   |    -    |    -    |   -   | 0.00%  | 100.00% |    -    |    -    |     -      |    -    |    -    |     40.00%    |     40.00%     |
|       Iyslander, Stormbind      | - |   -    |  0.00%  |  50.00% |    -    |    -    |         -          |    -    | 100.00% |     -     |    -    |    -    |   -   | 0.00%  |  60.00% |    -    |    -    |     -      |    -    |    -    |     50.00%    |     50.00%     |
|      Kano, Dracai of Aether     | - |   -    |    -    | 100.00% |    -    |    -    |         -          |  0.00%  |    -    |     -     |    -    |    -    |   -   | 50.00% | 100.00% |    -    |    -    |     -      |    -    |    -    |     60.00%    |     60.00%     |
|       Katsu, the Wanderer       | - |   -    |    -    |  33.33% | 100.00% |    -    |         -          |  0.00%  |    -    |     -     |    -    |  50.00% |   -   | 45.45% |  0.00%  |    -    |    -    |     -      |  50.00% |    -    |     43.33%    |     40.91%     |
|  Levia, Shadowborn Abomination  | - |   -    |    -    |    -    |    -    |    -    |         -          |    -    |    -    |     -     |    -    |    -    |   -   |   -    |    -    |    -    |    -    |     -      |    -    |    -    |       -       |       -        |
|          Lexi, Livewire         | - |   -    |  11.11% |  66.67% |  66.67% | 100.00% |         -          |  58.33% | 100.00% |  100.00%  |  50.00% |  54.55% |   -   | 45.45% |  25.93% | 100.00% |    -    |     -      |  40.00% |    -    |     45.28%    |     45.24%     |
| Oldhim, Grandfather of Eternity | - |   -    |  42.86% |  41.67% |  20.00% |  50.00% |         -          |  90.00% |  0.00%  |   40.00%  |  0.00%  | 100.00% |   -   | 66.67% |  50.00% |  50.00% |    -    |     -      |  0.00%  |    -    |     52.94%    |     53.66%     |
|     Rhinar, Reckless Rampage    | - |   -    | 100.00% |    -    |    -    |    -    |         -          | 100.00% |    -    |     -     |    -    |    -    |   -   | 0.00%  |  50.00% |    -    |    -    |     -      | 100.00% |    -    |     60.00%    |     60.00%     |
|   Riptide, Lurker of the Deep   | - |   -    |    -    |    -    |    -    |    -    |         -          |    -    |    -    |     -     |    -    |    -    |   -   |   -    |    -    |    -    |    -    |     -      |    -    |    -    |       -       |       -        |
|   Ser Boltyn, Breaker of Dawn   | - |   -    |    -    |    -    |    -    |    -    |         -          |    -    |    -    |     -     |    -    |    -    |   -   |   -    |    -    |    -    |    -    |     -      |    -    |    -    |       -       |       -        |
|        Uzuri, Switchblade       | - |   -    | 100.00% |    -    |    -    |    -    |         -          |    -    |    -    |     -     |    -    |  50.00% |   -   | 60.00% | 100.00% |  0.00%  |    -    |     -      |    -    |    -    |     69.23%    |     69.23%     |
|       Viserai, Rune Blood       | - |   -    |  0.00%  |    -    |  0.00%  |    -    |         -          |    -    |    -    |     -     |    -    |    -    |   -   |   -    |    -    |    -    |    -    |     -      |    -    |    -    |     0.00%     |     0.00%      |
+---------------------------------+---+--------+---------+---------+---------+---------+--------------------+---------+---------+-----------+---------+---------+-------+--------+---------+---------+---------+------------+---------+---------+---------------+----------------+
